id_poliza,num_poliza,nombre_x,apellido_paterno,apellido_materno,rfc,fecha_nacimiento,edad,sexo,estado_civil,ocupacion,ramo,plan,fecha_emision,fecha_inicio_vigencia,fecha_fin_vigencia,num_renovaciones,status_poliza,motivo_baja,canal_venta,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,suma_asegurada,deducible,prima_neta,prima_total,forma_pago,agente_id,estado,municipio,codigo_postal,nombre_largo_x,tasa_base_x,nombre_largo_y,tasa_base_y,nombre_y,region_x,g_edad,nombre_largo,tasa_base,nombre,region_y,prima_calc,nivel_riesgo,edad_calc,dias_vigencia,fraccion_expuesta
POL-000001,Vid-21-000001,Gabriela,Moreno,Vega,MOGV020429CG6,2002-04-29,24,F,Union libre,Independiente,Vida,10 anios,2021-11-23,2021-11-23,2022-11-23,4,Vigente,,Banca Seguros,,,,3000000,,54000.0,67651.2,Mensual,AG054,Veracruz,Poza Rica,36619.0,Vida Individual,0.018,Vida Individual,0.018,Enrique Castillo,Chihuahua,18-30,Vida Individual,0.018,Enrique Castillo,Chihuahua,62639.999999999985,ALTO,24.1,365,1.0
POL-000002,Aut-19-000002,Valeria,Torres,Castillo,TOVC020815IA8,2002-08-15,23,F,Casado,Contador,Autos,Amplia Plus,2019-08-19,2019-08-19,2020-08-19,0,Vigente,,Agente,Hyundai,2024.0,Compacto,150000,8000.0,5250.0,6394.5,Trimestral,AG004,Michoacan,Morelia,58889.0,Automoviles,0.035,Automoviles,0.035,Patricia Rios,Veracruz,18-30,Automoviles,0.035,Patricia Rios,Veracruz,6090.000000000001,MEDIO,23.8,366,1.0
POL-000003,GMM-22-000003,Fernanda,Ramos,Silva,RAFS941018BC1,1994-10-18,31,M,Union libre,Ingeniero,GMM,Basico,2022-07-11,2022-07-11,2023-07-11,0,Vigente,,Banca Seguros,,,,800000,5000.0,17600.0,22049.28,Mensual,AG051,Baja California,Tecate,45784.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Manuel Mendoza,Chihuahua,31-45,Gastos Medicos Mayores,0.022,Manuel Mendoza,Chihuahua,20416.0,ALTO,31.6,365,1.0
POL-000004,Vid-19-000004,Silvia,Mendoza,Gutierrez,MESG860204IH8,1986-02-04,40,M,Soltero,Arquitecto,Vida,20 anios,2019-03-12,2019-03-12,2020-03-12,0,Vigente,,Broker,,,,5000000,,99000.0,124027.2,Mensual,AG026,CDMX,Coyoacan,53982.0,Vida Individual,0.018,Vida Individual,0.018,Esperanza Jimenez,Nuevo Leon,31-45,Vida Individual,0.018,Esperanza Jimenez,Nuevo Leon,104400.0,ALTO,40.3,366,1.0
POL-000005,Vid-20-000005,Antonio,Ramos,Castillo,RAAC960722ME2,1996-07-22,29,F,Soltero,Independiente,Vida,20 anios,2020-11-03,2020-11-03,2021-11-03,1,Vigente,,Broker,,,,3000000,,54000.0,62640.0,Anual,AG050,Guanajuato,Guanajuato,69777.0,Vida Individual,0.018,Vida Individual,0.018,Gabriela Rios,Nuevo Leon,18-30,Vida Individual,0.018,Gabriela Rios,Nuevo Leon,62639.999999999985,ALTO,29.8,365,1.0
POL-000006,Aut-20-000006,Pedro,Castillo,Morales,CAPM010426MH6,2001-04-26,25,M,Viudo,Jubilado,Autos,RC+LT,2020-03-18,2020-03-18,2021-03-18,1,Vigente,,Agente,Toyota,2024.0,Compacto,200000,8000.0,7000.0,8120.0,Anual,AG052,Guanajuato,Irapuato,55060.0,Automoviles,0.035,Automoviles,0.035,Jose Navarro,Jalisco,18-30,Automoviles,0.035,Jose Navarro,Jalisco,8120.000000000001,MEDIO,25.1,365,1.0
POL-000007,GMM-23-000007,Mario,Reyes,Castillo,REMC680423LH5,1968-04-23,58,M,Divorciado,Jubilado,GMM,Plus,2023-03-05,2023-03-05,2024-03-05,4,Vigente,,Agente,,,,1000000,8000.0,27940.0,32410.4,Anual,AG024,Chihuahua,Chihuahua,19235.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Luis Salazar,CDMX,46-60,Gastos Medicos Mayores,0.022,Luis Salazar,CDMX,25520.0,ALTO,58.1,366,1.0
POL-000008,GMM-19-000008,Carlos,Rivera,Sanchez,RICS710805YY4,1971-08-05,54,M,Casado,Director,GMM,Plus,2019-03-23,2019-03-23,2020-03-23,2,Vigente,,Directo,,,,200000,10000.0,5324.0,6484.63,Trimestral,AG013,Nuevo Leon,Apodaca,35661.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Luz Medina,Michoacan,46-60,Gastos Medicos Mayores,0.022,Luz Medina,Michoacan,5104.0,BAJO,54.8,366,1.0
POL-000009,GMM-24-000009,Jose,Nunez,Reyes,NUJR930612XL7,1993-06-12,32,M,Union libre,Empresario,GMM,Elite,2024-11-15,2024-11-15,2025-11-15,0,Vigente,,Broker,,,,3000000,8000.0,66000.0,76560.0,Anual,AG039,Guanajuato,Leon,94158.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Fernando Torres,Jalisco,31-45,Gastos Medicos Mayores,0.022,Fernando Torres,Jalisco,76560.0,ALTO,32.9,365,1.0
POL-000010,Aut-21-000010,Laura,Silva,Diaz,SILD630414LI6,1963-04-14,63,M,Divorciado,Contador,Autos,Amplia Plus,2021-12-27,2021-12-27,2022-12-27,0,Vigente,,Broker,Hyundai,2016.0,Deportivo,200000,5000.0,7000.0,8363.6,Semestral,AG062,Michoacan,Apatzingan,,Automoviles,0.035,Automoviles,0.035,Martha Medina,Queretaro,61+,Automoviles,0.035,Martha Medina,Queretaro,8120.000000000001,MEDIO,63.1,365,1.0
